14:01:17bl041414.csvh2	,14742,393254633,-766221929,50.00,0,0,333,6,7,4000,7844838,3992,7844838,78.45,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:17bl041414.csvh2	,15272,393254633,-766221929,50.00,0,0,333,6,7,4000,7844372,3983,7844372,78.44,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:18bl041414.csvh2	,15799,393254633,-766221929,50.00,0,0,333,6,7,4000,7844372,3983,7844372,78.44,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:18bl041414.csvh2	,16324,393254633,-766221929,50.00,0,0,333,6,7,4000,7843325,3994,7843325,78.43,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:19bl041414.csvh2	,16849,393254633,-766221929,50.00,0,0,333,6,7,4000,7843325,3994,7843325,78.43,50.00,0.00,0.00,0.00,0.00,0.00,
14:01:19bl041414.csvh2	,17379,393254633,-766221929,50.00,0,0,333,6,7,4000,7844025,3983,7844025,78.44,50.00,0.00,0.00,0.00,0.00,0.00,
14:08:08bl041414.csv 0	,11210,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:08:09bl041414.csv 0	,11711,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:08:09bl041414.csv 0	,12212,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
14:08:10bl041414.csv 0	,12822,393254633,-766221929,50.00,0,0,333,6,7,4000,31010013,4000,-4989987,-49.90,50.00,0.00,0.00,0.00,0.00,0.00,
